case_index,solo_case_index,clean_correct,cable_flip,corner_tag_flip,watermark_flip,laterality_flip,noise_flip
0,7,0,0,0,0,0,0
1,35,0,0,0,0,0,0
2,41,0,0,0,0,0,0
3,49,0,0,0,0,0,0
4,115,0,0,0,0,0,0
5,156,0,0,0,0,0,0
6,204,0,0,0,0,0,0
7,210,0,0,0,0,0,0
8,266,0,0,0,0,0,0
9,315,0,0,0,0,0,0
10,319,0,0,0,0,0,1
11,320,0,0,0,0,0,1
12,333,0,0,0,0,0,0
13,387,0,0,0,0,0,0
14,404,0,0,0,0,0,0
15,408,0,0,0,0,0,0
16,414,0,0,0,0,0,1
17,418,0,0,0,0,0,0
18,420,0,0,0,0,0,0
19,423,0,0,0,0,0,0
20,461,0,0,0,0,0,0
21,504,0,0,0,1,0,1
22,505,0,0,0,0,0,0
23,506,0,0,0,0,0,0
24,511,0,0,0,0,0,0
25,514,0,0,0,0,0,0
26,547,0,0,0,0,0,0
27,613,0,0,0,1,0,0
28,614,0,0,0,0,0,0
29,677,0,0,0,1,0,0
30,685,0,0,0,0,0,0
31,706,0,0,0,0,0,0
32,792,0,0,0,0,0,0
33,807,0,0,0,1,0,0
34,810,0,0,0,0,0,0
