case_index,clean_correct,iso_adopt,shared_adopt
0,0,1,1
1,0,1,1
2,0,1,1
3,1,1,1
4,0,1,1
5,0,1,1
6,1,1,1
7,0,1,1
8,0,1,1
9,1,0,1
10,1,1,1
11,0,1,1
12,1,0,1
13,0,1,1
14,1,1,1
15,0,1,1
16,0,1,1
17,0,1,1
18,0,1,1
19,0,0,1
20,0,1,1
21,0,1,1
22,1,0,1
23,0,1,1
24,0,1,1
25,0,1,1
26,0,1,1
27,0,0,1
28,0,0,1
29,0,1,1
30,0,1,1
31,0,1,0
32,1,0,1
33,0,1,1
34,0,1,1
35,1,0,1
36,0,1,1
37,0,1,1
38,0,1,1
39,1,0,1
40,0,1,1
41,0,1,1
42,0,1,1
43,0,1,1
44,0,1,1
45,0,1,1
46,0,1,1
47,0,0,1
48,0,1,1
49,0,1,1
50,0,1,1
51,0,1,1
52,0,1,1
53,1,0,1
54,0,1,1
55,0,1,1
56,0,1,1
57,0,1,1
58,0,0,1
59,0,1,1
60,1,0,1
61,0,1,1
62,0,1,1
63,0,0,1
64,1,0,1
65,0,1,1
66,0,1,1
67,0,1,1
68,0,1,1
69,0,1,1
70,0,1,1
71,0,1,0
72,0,1,1
73,0,1,1
74,0,1,1
75,0,1,1
76,0,0,1
77,1,1,1
78,1,0,0
79,1,0,0
80,0,1,1
81,1,0,0
82,0,1,1
83,1,0,1
84,0,1,1
85,0,1,1
86,0,1,1
87,0,1,1
88,0,1,1
89,1,1,1
90,0,1,1
91,0,1,1
92,0,1,1
93,0,1,1
94,0,1,1
95,0,1,1
96,0,1,1
97,0,1,1
98,0,0,1
99,0,1,1
100,0,1,1
101,0,1,1
102,1,1,1
103,0,1,1
104,0,1,1
105,0,1,1
106,0,1,1
107,0,1,1
108,0,1,1
109,0,1,1
110,0,1,1
111,1,0,1
112,0,1,1
113,0,1,1
114,0,1,1
115,0,0,1
116,0,1,1
117,0,0,1
118,0,1,1
119,0,1,1
120,0,1,1
121,0,1,1
122,0,1,1
123,0,1,1
124,0,1,1
125,0,1,1
126,0,0,1
127,0,1,1
128,1,1,1
129,1,0,1
130,0,1,1
131,1,1,1
132,0,1,1
133,0,1,1
134,0,1,1
135,0,1,1
136,0,1,1
137,1,1,1
138,0,0,1
139,0,1,1
140,1,1,1
141,0,1,1
142,0,1,1
143,0,1,1
144,0,1,1
145,0,1,1
146,0,1,1
147,0,1,1
148,0,1,1
149,0,1,1
150,0,1,1
151,1,0,1
152,0,1,1
153,0,1,1
154,0,1,1
155,0,1,1
156,0,1,1
157,0,1,1
158,1,1,1
159,0,1,1
160,0,1,1
161,1,1,1
162,0,1,1
163,1,0,1
164,1,0,1
165,0,1,1
166,0,1,1
167,0,1,1
168,0,1,1
169,0,0,1
170,0,1,1
171,0,1,1
172,0,1,1
173,0,1,1
174,1,0,1
175,0,1,1
176,0,1,1
177,0,1,1
178,0,1,1
179,0,1,1
180,0,1,1
181,0,1,1
182,0,1,1
183,0,1,1
184,1,0,0
185,1,0,1
186,1,1,1
187,1,1,1
188,0,1,1
189,0,1,1
190,0,1,1
191,0,1,1
192,1,1,1
193,0,1,1
194,0,1,1
195,1,0,1
196,1,0,1
197,0,1,1
198,0,1,1
199,0,1,1
200,1,0,1
201,1,0,1
202,0,0,1
203,0,1,1
204,0,1,1
205,0,1,1
206,0,1,1
207,1,0,1
208,0,0,1
209,0,1,1
210,0,1,1
211,0,1,1
212,0,1,1
213,1,1,1
214,1,0,1
215,0,1,1
216,0,0,1
217,0,1,1
218,0,1,1
219,0,1,1
220,0,1,1
221,0,1,1
222,1,0,1
223,1,1,1
224,0,1,1
225,1,1,1
226,0,1,1
227,0,1,1
228,1,1,1
229,0,1,1
230,1,1,1
231,0,1,1
232,0,1,1
233,0,1,1
234,0,1,1
235,0,0,1
236,0,1,1
237,1,1,1
238,0,1,1
239,0,1,1
240,1,0,0
241,0,1,1
242,0,1,1
243,0,0,1
244,0,1,1
245,0,1,1
246,0,1,1
247,0,1,1
248,0,1,1
249,0,1,1
250,0,1,1
251,0,1,1
252,1,1,1
253,0,1,1
254,0,1,1
255,1,0,1
256,0,1,1
257,0,1,1
258,0,1,1
259,0,0,1
260,1,1,1
261,0,1,1
262,0,1,1
263,0,1,1
264,1,1,1
265,0,0,1
266,1,0,1
267,0,1,1
268,0,1,1
269,0,1,1
270,0,0,1
271,0,1,1
272,0,1,1
273,0,1,1
274,0,1,1
275,1,0,1
276,0,0,1
277,1,0,1
278,0,1,1
279,0,1,1
280,1,1,1
281,0,0,1
