case_index,sha256,bytes
0,00906d406ad7cc43cb7d00f0101a138e64d56b1e18e84600aa69310abc70ffa6,2954134
1,a3e8e20a0504d8bbbaf680186b9b13a1fd545eb90b860849a7d707e244b4065a,1095378
2,c06642b74b8a2165aea3516aa78ff7055f3e816eef128a7f49dc886b531ca26e,1188340
3,69583bb4450c6ad91bcdb2dfff5c2e197c4a6745ea30a5640d8e77781733e6d9,2344495
4,41d8834ece83b95070a44bc6ecb00a1bacc04a635138db29ebce3b56dad57dc3,2292171
5,8483a594ee2bce0e8fec35835a5c7792cd72142bb6b9fa4790e7869632e14279,1570298
6,9fea85ab26ed3389cb3d359300e682e274a34031b1d23d4c890bd85aef89a83f,1360335
7,b93a617417b9000df7dc6bb21fef9e6205216fbefedee186fd7f51fc50bf29b7,1810916
8,381df0be91bc09b2295ed1baa01c44ccab40e6c46789fffa4f254287acfe4dce,2322427
9,02a5e6f3df92524e41db56d7e0dfa79b60addaddf918e488a0d3da89b40267f9,1988149
10,2f8be33d04bb4db7d053de45989ec464799ed6887fae492faaba77c0d22539eb,1905046
11,896f019347d731fa33877b134b6fecf30a61b6b5cdf2d682a81ac09182576fec,1194207
12,42228e88d41882b5a942d7b08217b48f9ba30f4a315113220d34ca887d5ed8bf,878340
13,fe27e43a9e4543e2ece1edc85164734afb4319a6f51fb9e1e638331eb2f20151,2221375
14,61b1df9fe229e9aa146c60b31b1da0c35aca9c11ec05a26b2caee230cbfc22a9,724197
15,15ab2dff9ea75d9206cc498d205d5b86dd79ace09aeefe36ca1080213c9d56fb,1684722
16,8613580a9b4cb72b371abd1eb67ae9ec4157891390fc70bb0b95422899fc7a25,1500184
17,8fca0ca8136e20cd0df7aa910a446f2d0245b874a318c875079525901b1c4dab,1189159
18,07774042445dd057f567e0005d06cfa10900d5ffb7bc77a5f22b6c1f142f75f3,2589903
19,06116f98dc441f839c8c7053c757ba1f8dab52a1cb68549393dcab297e1882c4,978191
20,632c3c00220625e7ffd03b19e6e9276febc1782dfeedf2a10f250a30e40ff3bf,1009187
21,bdc4ca03444d20dbfa2ed276e7ce289a22cb8ea90970b83b4e627d592dd3eb29,1570504
22,88b23c4655b8a670977aaf065d2c2244b3f05c3909621eb7e2ec217b6936f5ff,1489513
23,f58830a3c2c42c157a1772cdcdaef06b19ac5798d842b4d45f8f356b0aa4a771,1650096
24,25ffe1c00f3d73c1da970ea7776db0d0dd2944d741226a19603a67cb5c9aff25,1698921
25,0639335b71b60da29f8dc93164563f9319a19684b2e5f4a50fba722ec42a13af,1081287
26,d5b937d72b04e53fd0e5ea3dbc6366b6539a8f2bc01a2484c0e2e1fc1099a116,1156317
27,1169f5163b9ae9fa38f8237b843191cca5f4e17db4af761e432211cd476e00e0,1030061
28,7e03f8e39aad4b81b99addf8975edcd0744ace680a0fa3dc3ab4cd70e790f885,1344050
29,ef3d5aeed1d2ec9198fc0e9efac2973446125a99c6ebb27977f6afcffaced36b,1054425
30,dd5886caa04b8a660b47be908b6c3a01f4e9ddb8be326235ddf67ff906fa02d7,1146014
31,dce103d9ed3032323a303ff0ea8d5e7ebd98fb8cde0060140ca2f130976e899b,1747164
32,a5b0aa68cae76027854806767c05c64ad7d1402dfb340c7847fa06ad8c0b7847,1528180
33,8d0f1de546eea9f49d7f4f6706458b82e8afebb894a1fe462e6fc1532869f2f9,2178471
34,7701c66c90cb4a88a71fc4943e82058dd09de62fee062f18cec8f4e12d7843f1,987189
35,65f7757906727284151c4d365f7e30ea4e1427342350b19590d4be72d01ab8dc,1493472
36,f796ff5dd806e0b25790d9a30a9b7613564df5990db2437c0bd363a89c0c28af,1873040
37,25b1a243c097f328eeb89ff1d1a0159ee28e1a50a848fd56d7babc5c70dd862c,1613181
38,06de626dd93f0d58906244b6f9853a17dedcd3b6bb0ff259c739a8d610392d6c,845744
39,076ddcecf8754bcf4a0ea371365c05af34b81e293cb280cbf2ffca4583d550f4,2157101
