case_index,clean_correct,op0.15_iso_adopt,op0.15_shared_adopt,op0.15_solo_flip,op0.3_iso_adopt,op0.3_shared_adopt,op0.3_solo_flip,op0.45_iso_adopt,op0.45_shared_adopt,op0.45_solo_flip
0,0,0,1,1,0,1,1,1,1,0
1,0,1,1,0,1,1,0,1,1,0
2,0,1,1,0,1,1,0,1,1,0
3,0,1,1,0,1,1,0,1,1,0
4,0,1,1,0,1,1,0,1,1,0
5,0,0,1,1,1,1,0,1,1,0
6,0,1,1,0,1,1,0,1,1,0
7,1,1,1,1,1,1,1,1,1,1
8,0,1,1,0,1,1,0,1,1,0
9,0,1,1,0,1,1,0,1,1,0
10,1,0,1,0,0,1,0,0,1,0
11,0,1,1,0,1,1,0,1,1,0
12,0,1,1,0,1,1,0,1,1,0
13,0,1,1,0,1,1,0,1,1,0
14,1,0,1,0,1,1,1,0,1,0
15,0,1,1,0,1,1,0,1,1,0
16,1,0,1,0,0,1,0,1,1,1
17,0,1,1,0,1,1,0,1,1,0
18,1,1,1,1,1,1,1,1,1,1
19,0,1,1,0,1,1,0,1,1,0
20,1,1,1,1,1,1,1,1,1,1
21,0,1,1,0,1,1,0,1,1,0
22,0,0,1,1,0,1,1,0,1,1
23,0,0,1,1,1,1,0,1,1,0
24,1,0,1,0,0,1,0,0,1,0
25,0,1,1,0,1,1,0,1,1,0
26,1,0,1,0,1,1,1,0,1,0
27,0,1,1,0,1,1,0,0,1,1
28,1,1,1,1,0,1,0,0,1,0
29,1,0,1,0,1,1,1,0,1,0
30,0,1,1,0,1,1,0,1,1,0
31,1,0,1,0,0,1,0,0,1,0
32,0,1,1,0,1,1,0,1,1,0
33,0,1,1,0,1,1,0,1,1,0
34,0,1,1,0,1,1,0,1,1,0
35,1,0,1,0,1,1,1,1,1,1
36,0,1,1,0,1,1,0,1,1,0
37,0,1,1,0,1,1,0,1,1,0
38,0,1,1,0,1,1,0,1,1,0
39,1,0,1,0,0,1,0,0,1,0
40,0,1,1,0,1,1,0,1,1,0
41,0,1,1,0,1,1,0,1,1,0
42,0,1,1,0,1,1,0,1,1,0
43,1,0,1,0,0,1,0,1,1,1
44,1,1,1,1,1,1,1,1,1,1
45,0,0,1,1,1,1,0,1,1,0
46,0,1,1,0,1,1,0,1,1,0
47,0,1,1,0,1,1,0,1,1,0
48,0,1,1,0,1,1,0,1,1,0
49,0,1,1,0,1,1,0,1,1,0
50,1,0,1,0,0,1,0,1,1,1
51,0,1,1,0,1,1,0,1,1,0
52,0,1,1,0,1,1,0,1,1,0
53,0,1,1,0,1,1,0,0,1,1
54,0,1,1,0,1,1,0,1,1,0
55,0,0,1,1,1,1,0,1,1,0
56,0,1,1,0,1,1,0,1,1,0
57,0,1,1,0,1,1,0,0,1,1
58,0,0,1,1,1,1,0,1,1,0
59,0,0,1,1,1,1,0,1,1,0
60,0,1,1,0,1,1,0,1,1,0
61,0,1,1,0,1,1,0,1,1,0
62,0,1,1,0,1,1,0,1,1,0
63,0,0,1,1,1,1,0,1,1,0
64,0,0,1,1,0,1,1,0,1,1
65,0,0,1,1,1,1,0,1,1,0
66,0,1,1,0,1,1,0,1,1,0
67,0,1,1,0,1,1,0,1,1,0
68,0,1,1,0,1,1,0,1,1,0
69,0,1,1,0,1,1,0,1,1,0
70,1,0,1,0,0,1,0,1,1,1
71,0,1,1,0,1,1,0,1,1,0
72,0,1,1,0,1,1,0,1,1,0
73,1,0,1,0,1,1,1,1,1,1
74,0,1,1,0,1,1,0,1,1,0
75,0,0,1,1,0,1,1,0,1,1
76,0,1,1,0,1,1,0,1,1,0
77,0,1,1,0,1,1,0,1,1,0
78,0,1,1,0,0,1,1,0,1,1
79,1,0,1,0,1,1,1,1,1,1
80,1,1,1,1,0,1,0,0,1,0
81,0,0,1,1,1,1,0,1,1,0
82,0,1,1,0,1,1,0,1,1,0
83,0,1,1,0,0,1,1,0,1,1
84,0,1,1,0,1,1,0,1,1,0
85,0,1,1,0,1,1,0,1,1,0
86,1,1,1,1,1,1,1,1,1,1
87,0,0,1,1,1,1,0,1,1,0
88,0,1,1,0,1,1,0,1,1,0
89,0,1,1,0,1,1,0,1,1,0
90,0,1,1,0,1,1,0,1,1,0
91,0,0,1,1,1,1,0,0,1,1
92,0,1,1,0,0,1,1,1,1,0
93,0,1,1,0,1,1,0,1,1,0
94,0,1,1,0,0,1,1,0,1,1
95,0,1,1,0,1,1,0,1,1,0
96,0,1,1,0,1,1,0,1,1,0
97,0,1,1,0,1,1,0,1,1,0
98,0,0,1,1,0,1,1,0,1,1
99,0,1,1,0,1,1,0,1,1,0
100,0,1,1,0,1,1,0,1,1,0
101,0,1,1,0,1,1,0,1,1,0
102,0,0,1,1,1,1,0,0,1,1
103,0,0,1,1,1,1,0,1,1,0
104,0,0,1,1,0,1,1,0,1,1
105,0,1,1,0,1,1,0,1,1,0
106,0,1,1,0,1,1,0,1,1,0
107,0,1,1,0,0,1,1,1,1,0
108,0,1,1,0,1,1,0,1,1,0
109,0,1,1,0,1,1,0,1,1,0
110,0,1,1,0,1,1,0,1,1,0
111,0,1,1,0,1,1,0,1,1,0
112,1,0,1,0,0,1,0,1,1,1
113,0,1,1,0,1,1,0,1,1,0
114,0,1,1,0,0,1,1,1,1,0
115,0,1,1,0,1,1,0,1,1,0
116,0,1,1,0,1,1,0,1,1,0
117,0,1,1,0,1,1,0,1,1,0
118,0,1,1,0,1,1,0,1,1,0
119,1,1,1,1,1,1,1,1,1,1
120,0,1,1,0,1,1,0,1,1,0
121,0,0,1,1,1,1,0,1,1,0
122,0,1,1,0,1,1,0,0,1,1
123,0,1,1,0,1,1,0,1,1,0
124,0,1,1,0,1,1,0,1,1,0
125,0,1,1,0,1,1,0,0,1,1
126,0,1,1,0,1,1,0,1,1,0
127,1,0,1,0,1,1,1,0,1,0
128,0,1,1,0,1,1,0,1,1,0
129,0,1,1,0,1,1,0,1,1,0
130,0,1,1,0,1,1,0,1,1,0
131,0,1,1,0,1,1,0,1,1,0
132,0,1,1,0,1,1,0,1,1,0
133,0,0,1,1,1,1,0,1,1,0
134,1,0,1,0,0,1,0,1,1,1
135,0,1,1,0,1,1,0,1,1,0
136,0,1,1,0,1,1,0,1,1,0
137,0,1,1,0,0,1,1,0,1,1
138,0,1,1,0,1,1,0,1,1,0
139,0,1,1,0,1,1,0,1,1,0
140,0,0,1,1,1,1,0,1,1,0
141,0,1,1,0,1,1,0,1,1,0
142,0,1,1,0,1,1,0,1,1,0
143,0,1,1,0,1,1,0,1,1,0
144,0,0,1,1,1,1,0,1,1,0
145,0,1,1,0,1,1,0,1,1,0
146,0,1,1,0,1,1,0,1,1,0
147,0,1,1,0,1,1,0,1,1,0
148,1,1,1,1,0,1,0,1,1,1
149,0,1,1,0,1,1,0,1,1,0
150,0,1,1,0,1,1,0,1,1,0
151,0,1,1,0,1,1,0,1,1,0
152,0,1,1,0,1,1,0,0,1,1
153,0,1,1,0,1,1,0,1,1,0
154,0,1,1,0,0,1,1,1,1,0
155,0,1,1,0,1,1,0,1,1,0
156,0,1,1,0,1,1,0,1,1,0
157,0,1,1,0,1,1,0,1,1,0
158,0,1,1,0,1,1,0,1,1,0
159,0,1,1,0,1,1,0,1,1,0
