case_index,clean_correct,iso_adopt,shared_adopt
0,0,1,1
1,1,1,1
2,0,1,1
3,1,1,1
4,1,0,1
5,1,1,1
6,0,1,1
7,0,1,1
8,0,1,1
9,0,1,1
10,0,1,1
11,0,1,1
12,0,1,1
13,0,1,1
14,0,1,1
15,0,1,1
16,0,1,1
17,1,0,1
18,0,1,1
19,0,1,1
20,0,1,1
21,0,1,1
22,0,1,1
23,0,1,1
24,0,0,1
25,0,1,1
26,0,1,1
27,0,1,1
28,0,1,1
29,0,1,1
30,1,0,1
31,0,1,1
32,0,1,1
33,0,1,1
34,0,0,1
35,0,1,1
36,0,1,1
37,0,1,1
38,0,1,1
39,0,1,1
40,0,0,1
41,1,1,1
42,0,1,1
43,1,1,1
44,0,1,1
45,0,1,1
46,1,0,1
47,0,1,1
48,0,1,1
49,0,1,1
50,0,1,1
51,0,1,1
52,0,1,1
53,0,0,1
54,0,1,1
55,1,0,1
56,0,1,1
57,0,1,1
58,0,1,1
59,0,1,1
60,0,1,1
61,0,1,1
62,0,0,1
63,0,0,1
64,0,1,1
65,0,1,1
66,0,1,1
67,0,1,1
68,1,1,1
69,0,1,1
70,0,1,1
71,0,1,1
72,0,1,1
73,1,1,1
74,0,1,1
75,0,1,1
76,0,1,1
77,0,1,1
78,1,0,1
79,0,1,1
80,0,1,1
81,1,1,1
82,0,1,1
83,1,0,1
84,1,1,1
85,1,1,1
86,1,0,1
87,0,1,1
88,0,1,1
89,0,0,1
90,0,1,1
91,0,1,1
92,0,1,1
93,0,1,1
94,0,0,1
95,1,0,1
96,0,1,1
97,0,1,1
98,1,1,1
99,0,1,1
100,1,0,1
101,1,1,1
102,0,1,1
103,1,1,1
104,0,1,1
105,0,1,1
106,0,1,1
107,0,1,1
108,1,0,1
109,1,1,1
110,0,1,1
111,0,1,1
112,1,1,0
113,0,1,1
114,0,1,1
115,0,0,1
116,0,1,1
117,0,1,1
118,1,0,1
119,0,1,1
120,0,1,1
121,0,1,1
122,0,1,1
123,1,1,1
124,0,1,1
125,1,0,1
126,0,1,1
127,1,1,1
128,0,1,1
129,0,1,1
130,1,1,1
131,0,1,1
132,0,1,1
133,1,1,1
134,0,1,1
135,0,1,1
136,0,1,1
137,0,1,1
138,1,1,1
139,0,1,1
140,0,1,1
141,1,0,1
142,0,1,1
143,0,1,1
144,0,1,1
145,0,1,1
146,1,1,1
147,0,1,1
148,0,1,1
149,0,0,1
150,1,0,1
151,0,1,1
152,0,1,1
153,0,1,1
154,1,1,1
155,0,1,1
156,0,1,1
157,0,1,1
158,0,1,1
159,0,1,1
160,0,1,1
161,1,0,1
162,0,0,1
163,0,1,1
164,0,1,1
165,0,1,1
166,0,1,1
167,0,1,1
168,1,0,1
169,0,1,1
170,0,1,1
171,0,1,1
172,0,1,1
173,0,1,1
174,0,1,1
175,0,1,1
176,0,1,1
177,1,1,1
178,1,1,1
179,0,1,1
180,0,1,1
181,0,1,1
182,0,1,1
183,0,1,1
184,1,0,1
185,1,0,0
186,1,1,1
187,0,1,1
188,0,1,1
189,0,1,1
190,1,0,1
191,0,1,1
192,1,1,1
193,1,0,1
194,0,1,1
195,0,1,1
196,0,1,1
197,0,1,1
198,0,1,1
199,0,1,1
200,0,1,1
201,0,1,1
202,0,1,1
203,0,1,1
204,0,1,1
205,0,1,1
206,0,1,1
207,0,1,1
208,0,1,1
209,0,1,1
210,0,1,1
211,0,1,1
212,0,1,1
213,0,1,1
214,1,0,1
